"","Foods","Calories","Carbs","Fat","Protein","Cholest","Sodium","Sugars","Fiber","day"
"247","Trader Joe's - Organic Free Range Eggs - Large, 1 egg","70","1g","5g","6g","215mg","65mg","0g","0g",2014-04-08
"248","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-08
"249","Trader Joe's - Quattro Formaggio 4 Cheese Blend, 1/8 cup","50","0g","4g","4g","13mg","110mg","0g","0g",2014-04-08
"250","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-08
"251","Kellogg's - Rice Krispies Treats Double Chocolatey Chunk 100 Calories, 1 Bar (22g)","100","15g","4g","0g","0mg","75mg","9g","0g",2014-04-08
"252","Almond Breeze - Almond Milk 30 Cal, 2 cup","60","2g","5g","2g","0mg","360mg","0g","2g",2014-04-08
"254","Trader Joe's - Goat's Milk Creamy Cheese, 28 g","45","1g","4g","3g","15mg","140mg","1g","0g",2014-04-08
"255","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-08
"256","Trader Joe's - Yukon Gold Potato, 280 g","208","49g","0g","6g","0mg","0mg","2g","4g",2014-04-08
"257","Chicken - Breast, meat only, cooked, stewed, 150 g","227","0g","5g","43g","116mg","95mg","0g","0g",2014-04-08
"258","Quaker - Honey Graham Oh's Cereal, 0.75 cup","110","23g","2g","1g","0mg","170mg","12g","1g",2014-04-08
"260","Trader Joe's - Sliced White Mushroom, 100 grams","24","4g","0g","4g","0mg","18mg","1g","1g",2014-04-08
"261","Wishbone - Balsamic Vinaigrette, 1 Tbsp","30","2g","3g","0g","0mg","140mg","2g","0g",2014-04-08
"262","Cucumber - Peeled, raw, 300 g","36","6g","0g","2g","0mg","6mg","4g","2g",2014-04-08
"263","Usda  National Nutrient Database - Tomato - Raw 100g Serving, 100 g","18","4g","0g","1g","0mg","5mg","3g","1g",2014-04-08
"264","Cabbage - Red, raw, 200 g","62","15g","0g","3g","0mg","54mg","8g","4g",2014-04-08
"265","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-08
"266","Cauliflower - Raw, 450 g","113","24g","0g","9g","0mg","135mg","11g","11g",2014-04-08
"268","Trader Joe's - Flour Tortillas, 1 tortilla (48g)","170","30g","4g","5g","0mg","260mg","0g","2g",2014-04-08
"269","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-08
"270","Chicken - Breast, meat only, cooked, stewed, 206 g","311","0g","6g","60g","159mg","130mg","0g","0g",2014-04-08
"272","Quaker - Honey Graham Oh's Cereal, 0.75 cup","110","23g","2g","1g","0mg","170mg","12g","1g",2014-04-08
"273","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-08
"274","Breyer's Fat Free Ice Cream - Vanilla, 1 cup","180","42g","0g","6g","0mg","90mg","26g","6g",2014-04-08
"276","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-08
"277","Quaker - Honey Graham Oh's Cereal, 1.0 cup","146","31g","3g","1g","0mg","226mg","16g","1g",2014-04-08
"279","Quaker Oats - 100% Natural Whole Grains Old Fashioned, 1/2 Cup (40g)","150","27g","3g","5g","0mg","0mg","1g","4g",2014-04-09
"280","All White - Liquid Egg Whites, 9 tbsp","75","0g","0g","15g","0mg","225mg","0g","0g",2014-04-09
"281","Trader Joe's - Organic Free Range Eggs - Large, 1 egg","70","1g","5g","6g","215mg","65mg","0g","0g",2014-04-09
"282","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-09
"283","Trader Joe's - Quattro Formaggio 4 Cheese Blend, 1/8 cup","50","0g","4g","4g","13mg","110mg","0g","0g",2014-04-09
"284","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-09
"285","Almond Breeze - Almond Milk 30 Cal, 2 cup","60","2g","5g","2g","0mg","360mg","0g","2g",2014-04-09
"286","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-09
"287","Trader Joe's - Strawberry Yogurt O's, 0.75 cup","120","23g","3g","2g","0mg","95mg","8g","1g",2014-04-09
"289","Flame Broiler - Chicken Veggie Bowl, 1 bowl","530","52g","17g","43g","135mg","430mg","0g","4g",2014-04-09
"290","Skittles - Original 2.17 oz, 1 bag","250","56g","3g","0g","0mg","20mg","46g","0g",2014-04-09
"292","Chicken - Breast, meat only, cooked, stewed, 300 g","453","0g","9g","87g","231mg","189mg","0g","0g",2014-04-09
"293","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-09
"294","Trader Joe's - Flour Tortillas, 1 tortilla (48g)","170","30g","4g","5g","0mg","260mg","0g","2g",2014-04-09
"296","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-09
"297","Trader Joe's - Yukon Gold Potato, 260 g","193","46g","0g","5g","0mg","0mg","2g","4g",2014-04-09
"299","Breyer's Fat Free Ice Cream - Vanilla, 1 cup","180","42g","0g","6g","0mg","90mg","26g","6g",2014-04-09
"300","Nuts - Walnuts, english, 15 g","98","2g","10g","2g","0mg","0mg","0g","1g",2014-04-09
"302","Trader Joe's - Strawberry Yogurt O's, 0.75 cup","120","23g","3g","2g","0mg","95mg","8g","1g",2014-04-10
"303","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-10
"304","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-10
"305","Trader Joe's - Organic Free Range Eggs - Large, 1 egg","70","1g","5g","6g","215mg","65mg","0g","0g",2014-04-10
"306","All White - Liquid Egg Whites, 9 tbsp","75","0g","0g","15g","0mg","225mg","0g","0g",2014-04-10
"307","Quaker Oats - 100% Natural Whole Grains Old Fashioned, 1/2 Cup (40g)","150","27g","3g","5g","0mg","0mg","1g","4g",2014-04-10
"308","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-10
"309","Kellogg's - Rice Krispies Treats Double Chocolatey Chunk 100 Calories, 1 Bar (22g)","100","15g","4g","0g","0mg","75mg","9g","0g",2014-04-10
"310","Trader Joe's - Quattro Formaggio 4 Cheese Blend, 1/8 cup","50","0g","4g","4g","13mg","110mg","0g","0g",2014-04-10
"312","Trader Joe's - Yukon Gold Potato, 300 g","223","53g","0g","6g","0mg","0mg","2g","4g",2014-04-10
"313","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-10
"314","Chicken - Breast, meat only, cooked, stewed, 190 g","287","0g","6g","55g","146mg","120mg","0g","0g",2014-04-10
"315","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-10
"316","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-10
"318","Cucumber - Peeled, raw, 350 g","42","8g","1g","2g","0mg","7mg","5g","2g",2014-04-10
"319","Usda  National Nutrient Database - Tomato - Raw 100g Serving, 100 g","18","4g","0g","1g","0mg","5mg","3g","1g",2014-04-10
"320","Trader Joe's - Sliced White Mushroom, 100 grams","24","4g","0g","4g","0mg","18mg","1g","1g",2014-04-10
"321","Wishbone - Balsamic Vinaigrette, 1 Tbsp","30","2g","3g","0g","0mg","140mg","2g","0g",2014-04-10
"322","Cabbage - Red, raw, 150 g","47","11g","0g","2g","0mg","41mg","6g","3g",2014-04-10
"324","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-10
"325","Trader Joe's - Flour Tortillas, 1 tortilla (48g)","170","30g","4g","5g","0mg","260mg","0g","2g",2014-04-10
"326","Chicken - Breast, meat only, cooked, stewed, 200 g","302","0g","6g","58g","154mg","126mg","0g","0g",2014-04-10
"328","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-10
"329","Trader Joe's - Strawberry Yogurt O's, 0.75 cup","120","23g","3g","2g","0mg","95mg","8g","1g",2014-04-10
"330","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-10
"331","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-10
"333","Golden Spoon - Non Fat Flavors, 8 ounces","200","46g","0g","6g","4mg","196mg","31g","0g",2014-04-10
"334","Ghirardelli - Intense Dark Twilight Delight 72% Cacao, 1 sections 38g","67","6g","6g","1g","0mg","0mg","3g","1g",2014-04-10
"336","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-11
"337","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 480 mL/8 fl oz","80","6g","6g","2g","0mg","360mg","0g","2g",2014-04-11
"338","Trader Joe's - Quattro Formaggio 4 Cheese Blend, 1/8 cup","50","0g","4g","4g","13mg","110mg","0g","0g",2014-04-11
"339","Quaker Oats - 100% Natural Whole Grains Old Fashioned, 1/2 Cup (40g)","150","27g","3g","5g","0mg","0mg","1g","4g",2014-04-11
"340","All White - Liquid Egg Whites, 9 tbsp","75","0g","0g","15g","0mg","225mg","0g","0g",2014-04-11
"341","Trader Joe's - Organic Free Range Eggs - Large, 1 egg","70","1g","5g","6g","215mg","65mg","0g","0g",2014-04-11
"342","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-11
"343","Kellogg's - Rice Krispies Treat Rainbow Chip 90 Calories, 1 bar","90","17g","3g","1g","0mg","95mg","9g","0g",2014-04-11
"345","Chicken - Breast, meat only, cooked, stewed, 200 g","302","0g","6g","58g","154mg","126mg","0g","0g",2014-04-11
"346","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-11
"347","Trader Joe's - Yukon Gold Potato, 255 g","190","45g","0g","5g","0mg","0mg","2g","3g",2014-04-11
"348","Trader Joe's - Strawberry Yogurt O's, 0.75 cup","120","23g","3g","2g","0mg","95mg","8g","1g",2014-04-11
"349","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-11
"351","Cucumber - Peeled, raw, 350 g","42","8g","1g","2g","0mg","7mg","5g","2g",2014-04-11
"352","Usda  National Nutrient Database - Tomato - Raw 100g Serving, 100 g","18","4g","0g","1g","0mg","5mg","3g","1g",2014-04-11
"353","Trader Joe's - Sliced White Mushroom, 100 grams","24","4g","0g","4g","0mg","18mg","1g","1g",2014-04-11
"354","Wishbone - Balsamic Vinaigrette, 1 Tbsp","30","2g","3g","0g","0mg","140mg","2g","0g",2014-04-11
"355","Cabbage - Red, raw, 230.0 g","71","17g","0g","3g","0mg","62mg","9g","5g",2014-04-11
"357","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-11
"358","Chicken - Breast, meat only, cooked, stewed, 200 g","302","0g","6g","58g","154mg","126mg","0g","0g",2014-04-11
"359","Trader Joe's - Flour Tortillas, 1 tortilla (48g)","170","30g","4g","5g","0mg","260mg","0g","2g",2014-04-11
"361","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-11
"362","Trader Joe's - Strawberry Yogurt O's, 0.75 cup","120","23g","3g","2g","0mg","95mg","8g","1g",2014-04-11
"363","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-11
"364","Trader Joe's - Yukon Gold Potato, 255 g","190","45g","0g","5g","0mg","0mg","2g","3g",2014-04-11
"366","Golden Spoon - Non Fat Flavors, 8 ounces","200","46g","0g","6g","4mg","196mg","31g","0g",2014-04-11
"368","Trader Joe's - Raisin Bran, 1 cup (55g)","170","44g","1g","4g","0mg","120mg","16g","8g",2014-04-12
"369","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-12
"370","Kellogg's - Rice Krispies  Treats Chocolately Drizzle, 1 bar","100","17g","3g","1g","0mg","95mg","8g","0g",2014-04-12
"371","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-12
"372","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-12
"373","All White - Liquid Egg Whites, 15 tbsp","125","0g","0g","25g","0mg","375mg","0g","0g",2014-04-12
"374","Bamboo Lane (Costco) - Crunchy Rice Rollers, 2 Roller","90","20g","0g","2g","0mg","10mg","8g","0g",2014-04-12
"376","Chicken - Breast, meat only, cooked, stewed, 150 g","227","0g","5g","43g","116mg","95mg","0g","0g",2014-04-12
"377","Trader Joe's - Yukon Gold Potato, 270 g","201","47g","0g","5g","0mg","0mg","2g","4g",2014-04-12
"378","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-12
"379","Trader Joe's - Strawberry Yogurt O's, 0.75 cup","120","23g","3g","2g","0mg","95mg","8g","1g",2014-04-12
"380","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-12
"382","Trader Joe's - Pound Plus - Imported From Belgium - 72% Dark Chocolate, 3 squares (38 g/1.3oz)","230","19g","15g","3g","0mg","0mg","10g","5g",2014-04-12
"384","Shophouse - Grilled Chicken Satay Bowl, 1 bowl","625","70g","12g","35g","0mg","0mg","0g","8g",2014-04-12
"386","Golden Spoon - Mini - Non Fat Flavors, 10 fluid ounces","250","58g","0g","8g","5mg","245mg","39g","0g",2014-04-12
"388","Rice - White, medium-grain, cooked, 1 cup","242","53g","0g","4g","0mg","0mg","0g","1g",2014-04-12
"389","Japanese - Salmon Sashimi, 3 oz","123","0g","5g","18g","39mg","120mg","0g","0g",2014-04-12
"390","Bisquick - Shake and Pour Pancake Mix, 1 container (7.5 pancakes - 190 gs ea.)","550","108g","8g","15g","0mg","1,500mg","18g","3g",2014-04-12
"391","Trader Joe's - Strawberry Yogurt O's, 0.75 cup","120","23g","3g","2g","0mg","95mg","8g","1g",2014-04-12
"392","Blue Diamond - Almond Breeze - Almond Milk (Unsweetened Vanilla), 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-12
"394","Trader Joe's - Creamy Almond Butter With Sea Salt, 5 g","30","1g","3g","1g","0mg","9mg","0g","0g",2014-04-13
"395","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-13
"396","Bamboo Lane (Costco) - Crunchy Rice Rollers, 1 Roller","45","10g","0g","1g","0mg","5mg","4g","0g",2014-04-13
"397","Trader Joe's - Raisin Bran, 1 cup (55g)","170","44g","1g","4g","0mg","120mg","16g","8g",2014-04-13
"399","Oil - Olive, 5 g","44","0g","5g","0g","0mg","0mg","0g","0g",2014-04-13
"400","Lettuce - Cos or romaine, raw, 170 g","29","6g","1g","2g","0mg","14mg","2g","4g",2014-04-13
"401","Cucumber - Peeled, raw, 350 g","42","8g","1g","2g","0mg","7mg","5g","2g",2014-04-13
"402","Private Selection - Balsamic Vinegar of Modena, 1 Tbsp (15ml)","35","10g","0g","0g","0mg","1mg","10g","0g",2014-04-13
"403","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-13
"404","Cauliflower - Raw, 340 g","85","18g","0g","7g","0mg","102mg","8g","9g",2014-04-13
"406","Almond Breeze - Almond Milk 30 Cal, 2 cup","60","2g","5g","2g","0mg","360mg","0g","2g",2014-04-13
"407","Body Tech - Whey Tech Pro 24- Chocolate, 29.4 grams/1 scoop","110","3g","1g","24g","20mg","170mg","0g","1g",2014-04-13
"408","Trader Joe's - Raisin Bran, 1 cup (55g)","170","44g","1g","4g","0mg","120mg","16g","8g",2014-04-13
"410","Chicken - Breast, meat only, cooked, stewed, 200 g","302","0g","6g","58g","154mg","126mg","0g","0g",2014-04-13
"411","Azuma Gourmet - Asian Style Salads - Seaweed Salad, 4 oz (56 g)","60","6g","5g","2g","0mg","280mg","6g","0g",2014-04-13
"412","Trader Joe's - Flour Tortillas 57 g, 57 g","170","30g","4g","5g","0mg","260mg","0g","2g",2014-04-13
"413","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-13
"414","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-13
"415","All White - Liquid Egg Whites, 15 tbsp","125","0g","0g","25g","0mg","375mg","0g","0g",2014-04-13
"416","Trader Joe's - Organic Free Range Eggs - Large, 1 egg","70","1g","5g","6g","215mg","65mg","0g","0g",2014-04-13
"417","Trader Joe's - Quattro Formaggio 4 Cheese Blend, 1/8 cup","50","0g","4g","4g","13mg","110mg","0g","0g",2014-04-13
"419","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-13
"420","Trader Joe's - Strawberry Yogurt O's, 0.75 cup","120","23g","3g","2g","0mg","95mg","8g","1g",2014-04-13
"421","Generic - Sweet Potato, Raw, Unprepared [Includes Usda Commodity Food A230, Sweetpotato] , 250 g","215","50g","0g","5g","0mg","138mg","10g","8g",2014-04-13
"422","Body Tech - Whey Tech Pro 24- Chocolate, 29.4 grams/1 scoop","110","3g","1g","24g","20mg","170mg","0g","1g",2014-04-13
"424","Golden Spoon - Mini - Non Fat Flavors, 8 fluid ounces","200","46g","0g","6g","4mg","196mg","31g","0g",2014-04-13
"425","Osem - Milk Chocolate Covered Matzah, 1 mtazah","200","26g","10g","3g","0mg","0mg","16g","0g",2014-04-13
"427","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-14
"428","Trader Joe's - Quattro Formaggio 4 Cheese Blend, 1/8 cup","50","0g","4g","4g","13mg","110mg","0g","0g",2014-04-14
"429","Trader Joe's - Organic Free Range Eggs - Large, 1 egg","70","1g","5g","6g","215mg","65mg","0g","0g",2014-04-14
"430","All White - Liquid Egg Whites, 9 tbsp","75","0g","0g","15g","0mg","225mg","0g","0g",2014-04-14
"431","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-14
"432","Kellogg's - Rice Krispies  Treats Chocolately Drizzle, 1 bar","100","17g","3g","1g","0mg","95mg","8g","0g",2014-04-14
"433","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-14
"434","Trader Joe's - Raisin Bran, 1 cup (55g)","170","44g","1g","4g","0mg","120mg","16g","8g",2014-04-14
"435","Quaker - 100% Natural Whole Grain-Old Fashioned Oats, 1/2 Cup Dry (40g)","150","27g","3g","5g","0mg","0mg","1g","4g",2014-04-14
"437","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-14
"438","Trader Joe's - Yukon Gold Potato, 275 g","204","48g","0g","6g","0mg","0mg","2g","4g",2014-04-14
"439","Chicken - Breast, meat only, cooked, stewed, 175 g","264","0g","5g","51g","135mg","110mg","0g","0g",2014-04-14
"440","General Mills Cereal - Honey Nut Cheerios Dry, 3/4 cup (28g)","110","22g","2g","2g","0mg","160mg","9g","2g",2014-04-14
"441","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-14
"443","Azuma Gourmet - Asian Style Salads - Seaweed Salad, 4 oz (56 g)","60","6g","5g","2g","0mg","280mg","6g","0g",2014-04-14
"444","Generic - Sweet Potato, Raw, Unprepared [Includes Usda Commodity Food A230, Sweetpotato] , 225 g","194","45g","0g","5g","0mg","124mg","9g","7g",2014-04-14
"445","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-14
"446","Trader Joe's - Flour Tortillas 57 g, 57 g","170","30g","4g","5g","0mg","260mg","0g","2g",2014-04-14
"447","Chicken - Breast, meat only, cooked, stewed, 215 g","325","0g","7g","62g","166mg","135mg","0g","0g",2014-04-14
"449","Bamboo Lane (Costco) - Crunchy Rice Rollers, 1 Roller","45","10g","0g","1g","0mg","5mg","4g","0g",2014-04-14
"450","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-14
"451","General Mills Cereal - Honey Nut Cheerios Dry, 3/4 cup (28g)","110","22g","2g","2g","0mg","160mg","9g","2g",2014-04-14
"453","Trader Joe's - Pound Plus - Imported From Belgium - 72% Dark Chocolate, 2 squares (38 g/1.3oz)","153","13g","10g","2g","0mg","0mg","7g","3g",2014-04-14
"454","Body Tech - Whey Tech Pro 24- Chocolate, 19.4 grams/1 scoop","73","2g","1g","16g","13mg","112mg","0g","1g",2014-04-14
"456","Bamboo Lane (Costco) - Crunchy Rice Rollers, 2 Roller","90","20g","0g","2g","0mg","10mg","8g","0g",2014-04-14
"458","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-15
"459","Trader Joe's - Quattro Formaggio 4 Cheese Blend, 1/8 cup","50","0g","4g","4g","13mg","110mg","0g","0g",2014-04-15
"460","Trader Joe's - Organic Free Range Eggs - Large, 1 egg","70","1g","5g","6g","215mg","65mg","0g","0g",2014-04-15
"461","All White - Liquid Egg Whites, 9 tbsp","75","0g","0g","15g","0mg","225mg","0g","0g",2014-04-15
"462","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-15
"463","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-15
"464","Bamboo Lane (Costco) - Crunchy Rice Rollers, 2 Roller","90","20g","0g","2g","0mg","10mg","8g","0g",2014-04-15
"465","Trader Joe's - Raisin Bran, 0.5 cup (55g)","85","22g","1g","2g","0mg","60mg","8g","4g",2014-04-15
"466","Quaker - 100% Natural Whole Grain-Old Fashioned Oats, 1/2 Cup Dry (40g)","150","27g","3g","5g","0mg","0mg","1g","4g",2014-04-15
"468","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-15
"469","Chicken - Breast, meat only, cooked, stewed, 175 g","264","0g","5g","51g","135mg","110mg","0g","0g",2014-04-15
"470","General Mills Cereal - Honey Nut Cheerios Dry, 3/4 cup (28g)","110","22g","2g","2g","0mg","160mg","9g","2g",2014-04-15
"471","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-15
"472","Trader Joe's - Yukon Gold Potato, 250 g","186","44g","0g","5g","0mg","0mg","2g","3g",2014-04-15
"474","Usda  National Nutrient Database - Tomato - Raw 100g Serving, 100 g","18","4g","0g","1g","0mg","5mg","3g","1g",2014-04-15
"475","Cabbage - Red, raw, 200 g","62","15g","0g","3g","0mg","54mg","8g","4g",2014-04-15
"476","Cucumber - Peeled, raw, 300 g","36","6g","0g","2g","0mg","6mg","4g","2g",2014-04-15
"477","Trader Joe's - Sliced White Mushroom, 34 grams","8","1g","0g","1g","0mg","6mg","0g","0g",2014-04-15
"478","Lettuce - Cos or romaine, raw, 134 g","23","4g","0g","2g","0mg","11mg","2g","3g",2014-04-15
"479","Wishbone - Balsamic Vinaigrette, 1 Tbsp","30","2g","3g","0g","0mg","140mg","2g","0g",2014-04-15
"481","Chicken - Breast, meat only, cooked, stewed, 200 g","302","0g","6g","58g","154mg","126mg","0g","0g",2014-04-15
"482","Azuma Gourmet - Asian Style Salads - Seaweed Salad, 4 oz (56 g)","60","6g","5g","2g","0mg","280mg","6g","0g",2014-04-15
"483","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-15
"484","Cauliflower - Raw, 475 g","119","25g","0g","9g","0mg","143mg","11g","12g",2014-04-15
"486","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-15
"487","Trader Joe's - Flour Tortillas 57 g, 57 g","170","30g","4g","5g","0mg","260mg","0g","2g",2014-04-15
"488","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-15
"489","General Mills Cereal - Honey Nut Cheerios Dry, 3/4 cup (28g)","110","22g","2g","2g","0mg","160mg","9g","2g",2014-04-15
"490","Trader Joe's - Pound Plus - Imported From Belgium - 72% Dark Chocolate, 1.5 squares (38 g/1.3oz)","115","9g","7g","1g","0mg","0mg","5g","2g",2014-04-15
"492","Golden Spoon - Non Fat Flavors, 8 ounces","200","46g","0g","6g","4mg","196mg","31g","0g",2014-04-15
